Country Name,Country Code,Series Name,Area_Divide,Series Code,Time,Time Code,Value
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2010,YR2010,48.28708366
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2011,YR2011,50.8278463
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2012,YR2012,53.4035172
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2013,YR2013,56.01404291
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2014,YR2014,58.65937353
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2015,YR2015,61.33978081
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2016,YR2016,64.0548831
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2017,YR2017,66.80870335
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2018,YR2018,69.60193058
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2019,YR2019,72.43421885
Afghanistan,AFG,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2020,YR2020,75.09141325
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2010,YR2010,40.54700873
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2011,YR2011,42.9634738
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2012,YR2012,45.41585566
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2013,YR2013,47.90415432
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2014,YR2014,50.42836977
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2015,YR2015,52.98850202
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2016,YR2016,55.58455107
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2017,YR2017,58.21651691
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2018,YR2018,60.88439955
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2019,YR2019,63.58819898
Afghanistan,AFG,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2020,YR2020,66.32791521
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2010,YR2010,73.15464811
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2011,YR2011,75.80284365
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2012,YR2012,78.47737069
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2013,YR2013,81.17822921
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2014,YR2014,83.90541922
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2015,YR2015,86.65894072
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2016,YR2016,89.43879371
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2017,YR2017,92.24497819
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2018,YR2018,95.07749415
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2019,YR2019,97.93634161
Afghanistan,AFG,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2020,YR2020,100
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2010,YR2010,91.37947821
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2011,YR2011,91.81088697
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2012,YR2012,92.22877874
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2013,YR2013,92.63159485
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2014,YR2014,93.02005646
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2015,YR2015,93.39432534
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2016,YR2016,93.75487823
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2017,YR2017,94.10209695
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2018,YR2018,94.43639147
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2019,YR2019,94.75822287
Albania,ALB,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2020,YR2020,95.06803883
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2010,YR2010,87.1945467
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2011,YR2011,87.87858383
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2012,YR2012,88.5638752
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2013,YR2013,89.25042078
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2014,YR2014,89.93822058
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2015,YR2015,90.62727461
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2016,YR2016,91.31758285
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2017,YR2017,92.00914532
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2018,YR2018,92.70196201
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2019,YR2019,93.39603293
Albania,ALB,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2020,YR2020,94.09135806
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2010,YR2010,95.21734354
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2011,YR2011,95.26360672
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2012,YR2012,95.30951066
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2013,YR2013,95.35505535
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2014,YR2014,95.40024078
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2015,YR2015,95.44506696
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2016,YR2016,95.4895339
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2017,YR2017,95.53364158
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2018,YR2018,95.57739001
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2019,YR2019,95.62077919
Albania,ALB,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2020,YR2020,95.66380912
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2010,YR2010,92.29597417
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2011,YR2011,92.51499419
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2012,YR2012,92.74518845
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2013,YR2013,92.97088353
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2014,YR2014,93.19235149
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2015,YR2015,93.40956153
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2016,YR2016,93.62277749
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2017,YR2017,93.83197734
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2018,YR2018,94.03741308
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2019,YR2019,94.23913956
Algeria,DZA,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2020,YR2020,94.43732996
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2010,YR2010,86.67927674
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2011,YR2011,87.00614424
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2012,YR2012,87.34267638
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2013,YR2013,87.67928086
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2014,YR2014,88.01595769
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2015,YR2015,88.35270686
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2016,YR2016,88.68952838
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2017,YR2017,89.02642224
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2018,YR2018,89.36338845
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2019,YR2019,89.70042701
Algeria,DZA,People using at least basic drinking water services rural (% of rural population),Rural,SH.H2O.BASW.RU.ZS,2020,YR2020,90.03753791
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2010,YR2010,94.99538166
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2011,YR2011,95.07937181
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2012,YR2012,95.18205803
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2013,YR2013,95.28477725
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2014,YR2014,95.38752947
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2015,YR2015,95.4903147
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2016,YR2016,95.59313293
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2017,YR2017,95.69598416
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2018,YR2018,95.79886839
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2019,YR2019,95.90178563
Algeria,DZA,People using at least basic drinking water services urban (% of urban population),Urban,SH.H2O.BASW.UR.ZS,2020,YR2020,96.00473586
American Samoa,ASM,People using at least basic drinking water services (% of population),Total,SH.H2O.BASW.ZS,2010,YR2010,99.23243189
